Iteration	Posterior	Likelihood	Prior	mu_plumage
238000	-744.8332	-744.8246	-0.008608955	0.008608955
238500	-745.1614	-745.153	-0.008390225	0.008390225
239000	-744.499	-744.4893	-0.009744713	0.009744713
239500	-744.4999	-744.4901	-0.009746152	0.009746152
240000	-744.3739	-744.3646	-0.009363281	0.009363281
240500	-744.4872	-744.4775	-0.009725156	0.009725156
241000	-744.4099	-744.4008	-0.009132941	0.009132941
241500	-745.3162	-745.3079	-0.008304438	0.008304438
242000	-745.0661	-745.0576	-0.008447657	0.008447657
242500	-744.7905	-744.7819	-0.008642955	0.008642955
243000	-744.8389	-744.8287	-0.01012679	0.01012679
243500	-744.3946	-744.3854	-0.009183378	0.009183378
244000	-745.6362	-745.6255	-0.01065766	0.01065766
244500	-745.3768	-745.3662	-0.01050897	0.01050897
245000	-744.7393	-744.7306	-0.008686306	0.008686306
245500	-744.4714	-744.4617	-0.009697255	0.009697255
246000	-744.3853	-744.3758	-0.009464734	0.009464734
246500	-745.6801	-745.672	-0.008129052	0.008129052
247000	-744.3753	-744.366	-0.00939015	0.00939015
247500	-744.4827	-744.4729	-0.009717317	0.009717317
248000	-744.9842	-744.9739	-0.0102445	0.0102445
248500	-744.5043	-744.4954	-0.008946664	0.008946664
